FacilityInspireId,reportingYear,AIR_Ammonia (NH3),AIR_Carbon dioxide (CO2),AIR_Carbon dioxide (CO2) excluding biomass,AIR_Carbon monoxide (CO),AIR_Chlorine and inorganic compounds (as HCl),AIR_Hydrochlorofluorocarbons (HCFCs),AIR_Mercury and compounds (as Hg),AIR_Methane (CH4),AIR_Nickel and compounds (as Ni),AIR_Nitrogen oxides (NOX),AIR_Nitrous oxide (N2O),AIR_Non-methane volatile organic compounds (NMVOC),AIR_Particulate matter (PM10),AIR_Sulphur oxides (SOX),AIR_Zinc and compounds (as Zn),WASTE_Disposal_HW,WASTE_Disposal_NONHW,WASTE_Recovery_HW,WASTE_Recovery_NONHW,countryName,facilityName,city,Longitude,Latitude,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,WATER_Arsenic and compounds (as As),WATER_Chlorides (as total Cl),WATER_Copper and compounds (as Cu),WATER_Fluorides (as total F),WATER_Lead and compounds (as Pb),WATER_Nickel and compounds (as Ni),WATER_Total nitrogen,WATER_Total organic carbon(as total C or COD/3) (TOC),WATER_Total phosphorus,WATER_Zinc and compounds (as Zn),TRANSFER_Nickel and compounds (as Ni),TRANSFER_Phenols (as total C),TRANSFER_Total nitrogen,TRANSFER_Total organic carbon(as total C or COD/3) (TOC),TRANSFER_Total phosphorus,TRANSFER_Zinc and compounds (as Zn)
AT.CAED/9008390306826.FACILITY,2010,,106000000.0,,,,,,,,,,,,,,,,6.5,,Austria,Mondi Neusiedler GmbH & Co KG,Kematen,14.753333,48.022778,6.0,Paper and wood production and processing,6(a),,,,,,,,476000.0,,,,,,,,
AT.CAED/9008390306826.FACILITY,2011,,102000000.0,,,,,,,,,,,,,,,,6.5,2250.0,Austria,Mondi Neusiedler GmbH & Co KG,Kematen,14.753333,48.022778,6.0,Paper and wood production and processing,6(a),,,,,,,,511000.0,,,,,,,,
AT.CAED/9008390306826.FACILITY,2012,,102000000.0,,,,,,,,,,,,,,,,5.6,2720.0,Austria,Mondi Neusiedler GmbH & Co KG,Kematen,14.753333,48.022778,6.0,Paper and wood production and processing,6(a),,,,,,,,466000.0,,,,,,,,
AT.CAED/9008390317211.FACILITY,2008,,107000000.0,,,,,,,,,,,,,,,,31.4,10800.0,Austria,Mondi Neusiedler GmbH & Co KG,Hausmening,14.82,48.07,6.0,Paper and wood production and processing,6(b),,,,,,,,614000.0,,,,,,,,
AT.CAED/9008390317211.FACILITY,2010,,104000000.0,,,,,,,,,,,,,,,,37.4,8760.0,Austria,Mondi Neusiedler GmbH & Co KG,Hausmening,14.82,48.07,6.0,Paper and wood production and processing,6(b),,,,,,,,,,,,,,500000.0,,
AT.CAED/9008390317211.FACILITY,2011,,101000000.0,,,,,,,,,,,,,,,,31.7,6020.0,Austria,Mondi Neusiedler GmbH & Co KG,Hausmening,14.82,48.07,6.0,Paper and wood production and processing,6(b),,,,,,,,,,,,,,515000.0,,
AT.CAED/9008390317211.FACILITY,2012,,103000000.0,,,,,,,,,,,,,,,,34.0,5420.0,Austria,Mondi Neusiedler GmbH & Co KG,Hausmening,14.82,48.07,6.0,Paper and wood production and processing,6(b),,,,,,,,,,,,,,621000.0,,
AT.CAED/9008390392737.FACILITY,2021,,,,,,,,,,,,113000.0,,,,2500.0,,603.25,,Austria,Nufarm GmbH & CO KG,Linz,14.336056,48.290944,4.0,Chemical industry,4(d),,,,,,,,,,,23.0,,,,,
AT.CAED/9008390396414.FACILITY,2007,,,,,,,,,,,,170000.0,,,,2000.0,82.8,79.7,27100.0,Austria,MAGNA STEYR Fahrzeugtechnik GmbH & Co KG,"Graz,07.Bez.:Liebenau",15.477778,47.019167,2.0,Production and processing of metals,2(f),,,,,,,,,,,,,,,,
AT.CAED/9008390396414.FACILITY,2008,,,,,,,,,,,,101000.0,,,,1630.0,,,,Austria,MAGNA STEYR Fahrzeugtechnik GmbH & Co KG,"Graz,07.Bez.:Liebenau",15.477778,47.019167,2.0,Production and processing of metals,2(f),,,,,,,,,,,,,,,,
AT.CAED/9008390396414.FACILITY,2018,,,,,,,,,,,,133000.0,,,,1240.0,2.13,986.0,9940.0,Austria,MAGNA STEYR Fahrzeugtechnik GmbH & Co KG,"Graz,07.Bez.:Liebenau",15.477778,47.019167,2.0,Production and processing of metals,2(f),,,,,,,,,,,,,,,,
